ASV_ID	total_reads_NC	total_reads_samps	perc_in_neg	total_samples	num_samp_nc	num_samp_no_nc	perc_in_neg_samp
ASV7	1340	17703	7.036706	21	1	20	4.761904761904762
ASV17	4	11461	0.034889	16	1	15	6.25
ASV57	699	4079	14.629552	7	1	6	14.285714285714285
ASV265	864	85	91.043203	4	1	3	25
ASV231	2	1219	0.1638	5	1	4	20
ASV304	1	761	0.131234	3	1	2	33.33333333333333
ASV275	895	1	99.888393	2	1	1	50
ASV550	1	167	0.595238	2	1	1	50
ASV380	1	455	0.219298	3	1	2	33.33333333333333
ASV300	1	780	0.128041	2	1	1	50
ASV4	947	22571	4.026703	23	1	22	4.3478260869565215
ASV633	99	2	98.019802	3	1	2	33.33333333333333
ASV462	6	285	2.061856	7	1	6	14.285714285714285
ASV12	786	12362	5.978096	15	1	14	6.666666666666667
ASV533	1	190	0.52356	2	1	1	50
ASV98	1	2898	0.034495	9	1	8	11.11111111111111
ASV1	1252	39925	3.040532	22	1	21	4.545454545454546
ASV880	1	3	25	4	1	3	25
ASV130	1	2200	0.045434	13	1	12	7.6923076923076925
ASV71	1	3939	0.025381	5	1	4	20
ASV28	1	7705	0.012977	9	1	8	11.11111111111111
ASV347	12	547	2.146691	5	1	4	20
ASV191	1500	0	100	1	1	0	100
ASV51	1939	3215	37.621265	10	1	9	10
ASV471	6	272	2.158273	6	1	5	16.666666666666664
ASV110	1	2557	0.039093	6	1	5	16.666666666666664
ASV278	867	2	99.76985	3	1	2	33.33333333333333
ASV631	1	102	0.970874	3	1	2	33.33333333333333
ASV155	1	1900	0.052604	5	1	4	20
ASV21	1812	8024	18.422123	14	1	13	7.142857142857142
ASV229	1	1225	0.081566	9	1	8	11.11111111111111
ASV501	1	235	0.423729	2	1	1	50
ASV120	1	2342	0.04268	6	1	5	16.666666666666664
ASV2	1269	28989	4.193932	30	1	29	3.3333333333333335
ASV460	1	290	0.343643	11	1	10	9.090909090909092
ASV646	4	91	4.210526	13	1	12	7.6923076923076925
ASV158	1	1832	0.054555	16	1	15	6.25
ASV145	3	2005	0.149402	16	1	15	6.25
ASV93	2	3034	0.065876	16	1	15	6.25
ASV276	1	893	0.111857	16	1	15	6.25
ASV364	2	502	0.396825	14	1	13	7.142857142857142
ASV638	1	98	1.010101	14	1	13	7.142857142857142
ASV63	14	4140	0.337025	19	1	18	5.263157894736842
ASV212	17	1353	1.240876	5	1	4	20
ASV392	418	0	100	1	1	0	100
ASV474	1	273	0.364964	4	1	3	25
ASV102	126	2702	4.455446	13	1	12	7.6923076923076925
ASV173	103	1563	6.182473	15	1	14	6.666666666666667
ASV655	6	83	6.741573	4	1	3	25
ASV23	3	9362	0.032034	19	1	18	5.263157894736842
ASV58	1682	3038	35.635593	6	1	5	16.666666666666664
