SampleID	start_rc	start_asv	final_rc	final_asv
P00_D00_000_NNN	23941	63	NA	NA
P01_D00_010_W4A	37078	213	22133	97
P01_D10_020_W4A	19128	53	16267	37
P01_D20_050_W4A	221	13	NA	NA
P01_D50_100_W4A	5691	49	4573	34
P02_D00_010_C0A	20077	168	18400	105
P02_D10_020_C0A	15942	63	7671	30
P02_D20_050_C0A	52244	97	42816	76
P02_D50_100_C0A	25653	31	24728	29
P03_D00_010_W4B	39935	144	28818	88
P03_D10_020_W4B	37830	82	28396	59
P03_D20_050_W4B	31733	39	31730	36
P03_D50_100_W4B	32641	53	25705	38
P04_D00_010_C0B	39828	230	21570	128
P04_D10_020_C0B	32152	61	26650	49
P04_D20_050_C0B	32667	158	23244	115
P04_D50_100_C0B	27786	56	23989	45
P05_D00_010_W4C	37990	86	28728	66
P05_D10_020_W4C	30352	79	26501	65
P05_D20_050_W4C	18483	25	12743	17
P05_D50_100_W4C	10192	20	10189	17
P06_D00_010_C0C	39810	200	25866	110
P06_D10_020_C0C	39087	106	25365	65
P06_D20_050_C0C	40591	115	27869	78
P06_D50_100_C0C	14165	23	11420	16
P07_D00_010_W4D	35343	77	18410	43
P07_D10_020_W4D	39748	209	24543	130
P07_D20_050_W4D	27651	41	22825	31
P07_D50_100_W4D	28039	31	21976	26
P08_D00_010_C0D	33275	63	31217	49
P08_D10_020_C0D	35481	63	22129	41
P08_D20_050_C0D	28657	40	22231	32
P08_D50_100_C0D	27881	30	14944	15
P09_D00_010_W4E	33264	165	21406	85
P09_D10_020_W4E	36805	72	30122	45
P09_D20_050_W4E	23364	40	13587	26
P09_D50_100_W4E	3442	21	3420	17
P10_D00_010_C0E	35538	292	17774	153
P10_D10_020_C0E	35204	74	27265	54
P10_D20_050_C0E	22433	24	19668	16
P10_D50_100_C0E	16358	23	13826	14
