SampleID	Plot	Depth	Treatment	Temp	Pairing	raw_rc	cutadapt_rc	final_rc	per_reads_kept	no_asv
P00_D00_000_NNN	P00	00_000	Negative	N	N	47622	29518	23941	0.503	63
P01_D00_010_W4A	P01	00_010	Warm	4	A	49965	48866	37078	0.742	213
P01_D10_020_W4A	P01	10_020	Warm	4	A	22904	22346	19128	0.835	53
P01_D20_050_W4A	P01	20_050	Warm	4	A	394	281	221	0.561	13
P01_D50_100_W4A	P01	50_100	Warm	4	A	7014	6817	5691	0.811	49
P02_D00_010_C0A	P02	00_010	Control	0	A	24935	24026	20077	0.805	168
P02_D10_020_C0A	P02	10_020	Control	0	A	19389	18764	15942	0.822	63
P02_D20_050_C0A	P02	20_050	Control	0	A	63388	62757	52244	0.824	97
P02_D50_100_C0A	P02	50_100	Control	0	A	30114	29834	25653	0.852	31
P03_D00_010_W4B	P03	00_010	Warm	4	B	51320	50677	39935	0.778	144
P03_D10_020_W4B	P03	10_020	Warm	4	B	44859	44401	37830	0.843	82
P03_D20_050_W4B	P03	20_050	Warm	4	B	37422	37004	31733	0.848	39
P03_D50_100_W4B	P03	50_100	Warm	4	B	38671	38272	32641	0.844	53
P04_D00_010_C0B	P04	00_010	Control	0	B	48228	47743	39828	0.826	230
P04_D10_020_C0B	P04	10_020	Control	0	B	38244	37861	32152	0.841	61
P04_D20_050_C0B	P04	20_050	Control	0	B	40042	39383	32667	0.816	158
P04_D50_100_C0B	P04	50_100	Control	0	B	35885	32509	27786	0.774	56
P05_D00_010_W4C	P05	00_010	Warm	4	C	45254	44829	37990	0.839	86
P05_D10_020_W4C	P05	10_020	Warm	4	C	42162	35611	30352	0.72	79
P05_D20_050_W4C	P05	20_050	Warm	4	C	21806	21611	18483	0.848	25
P05_D50_100_W4C	P05	50_100	Warm	4	C	11804	11686	10192	0.863	20
P06_D00_010_C0C	P06	00_010	Control	0	C	50919	50379	39810	0.782	200
P06_D10_020_C0C	P06	10_020	Control	0	C	46097	45763	39087	0.848	106
P06_D20_050_C0C	P06	20_050	Control	0	C	49338	48923	40591	0.823	115
P06_D50_100_C0C	P06	50_100	Control	0	C	16312	16170	14165	0.868	23
P07_D00_010_W4D	P07	00_010	Warm	4	D	42163	41649	35343	0.838	77
P07_D10_020_W4D	P07	10_020	Warm	4	D	53157	51899	39748	0.748	209
P07_D20_050_W4D	P07	20_050	Warm	4	D	32234	31892	27651	0.858	41
P07_D50_100_W4D	P07	50_100	Warm	4	D	33024	32668	28039	0.849	31
P08_D00_010_C0D	P08	00_010	Control	0	D	39249	39009	33275	0.848	63
P08_D10_020_C0D	P08	10_020	Control	0	D	41393	40954	35481	0.857	63
P08_D20_050_C0D	P08	20_050	Control	0	D	33336	33011	28657	0.86	40
P08_D50_100_C0D	P08	50_100	Control	0	D	37368	31983	27881	0.746	30
P09_D00_010_W4E	P09	00_010	Warm	4	E	46685	44957	33264	0.713	165
P09_D10_020_W4E	P09	10_020	Warm	4	E	43854	43536	36805	0.839	72
P09_D20_050_W4E	P09	20_050	Warm	4	E	36702	26997	23364	0.637	40
P09_D50_100_W4E	P09	50_100	Warm	4	E	12872	4003	3442	0.267	21
P10_D00_010_C0E	P10	00_010	Control	0	E	46375	45952	35538	0.766	292
P10_D10_020_C0E	P10	10_020	Control	0	E	40900	40630	35204	0.861	74
P10_D20_050_C0E	P10	20_050	Control	0	E	26064	25766	22433	0.861	24
P10_D50_100_C0E	P10	50_100	Control	0	E	24518	18876	16358	0.667	23
