SampleID	Plot	Depth	Treatment	Temp	Pairing	raw_rc	cutadapt_rc	final_rc	per_reads_kept	no_asv
P01_D00_010_W4A	P01	00_010	Warm	4	A	119710	117727	45170	0.377	770
P01_D10_020_W4A	P01	10_020	Warm	4	A	68464	55398	29333	0.428	360
P01_D20_050_W4A	P01	20_050	Warm	4	A	22142	2601	1319	0.06	27
P01_D50_100_W4A	P01	50_100	Warm	4	A	31608	2302	1056	0.033	27
P02_D00_010_C0A	P02	00_010	Control	0	A	64386	61085	43184	0.671	640
P02_D10_020_C0A	P02	10_020	Control	0	A	80029	58886	39906	0.499	343
P02_D20_050_C0A	P02	20_050	Control	0	A	38259	2929	1167	0.031	18
P02_D50_100_C0A	P02	50_100	Control	0	A	13536	136	3	0	3
P03_D00_010_W4B	P03	00_010	Warm	4	B	32251	4262	1343	0.042	251
P03_D10_020_W4B	P03	10_020	Warm	4	B	73491	32145	19336	0.263	227
P03_D20_050_W4B	P03	20_050	Warm	4	B	43447	4719	2714	0.062	56
P03_D50_100_W4B	P03	50_100	Warm	4	B	56116	4106	1735	0.031	41
P04_D00_010_C0B	P04	00_010	Control	0	B	94788	91156	57722	0.609	714
P04_D10_020_C0B	P04	10_020	Control	0	B	74363	9559	5643	0.076	46
P04_D20_050_C0B	P04	20_050	Control	0	B	67956	3492	1372	0.02	36
P04_D50_100_C0B	P04	50_100	Control	0	B	58391	3625	1706	0.029	29
P05_D00_010_W4C	P05	00_010	Warm	4	C	62564	9377	4377	0.07	60
P05_D10_020_W4C	P05	10_020	Warm	4	C	64971	7628	4794	0.074	71
P05_D20_050_W4C	P05	20_050	Warm	4	C	38833	2409	1160	0.03	25
P05_D50_100_W4C	P05	50_100	Warm	4	C	50164	3046	1244	0.025	23
P06_D00_010_C0C	P06	00_010	Control	0	C	80676	75732	52304	0.648	517
P06_D10_020_C0C	P06	10_020	Control	0	C	115934	96623	66363	0.572	348
P06_D20_050_C0C	P06	20_050	Control	0	C	88056	3432	1174	0.013	26
P06_D50_100_C0C	P06	50_100	Control	0	C	75582	5990	3464	0.046	32
P07_D00_010_W4D	P07	00_010	Warm	4	D	80404	44341	24042	0.299	165
P07_D10_020_W4D	P07	10_020	Warm	4	D	82941	68622	37085	0.447	381
P07_D20_050_W4D	P07	20_050	Warm	4	D	45444	2793	1436	0.032	22
P07_D50_100_W4D	P07	50_100	Warm	4	D	58527	3381	1561	0.027	31
P08_D00_010_C0D	P08	00_010	Control	0	D	56635	4768	2524	0.045	44
P08_D10_020_C0D	P08	10_020	Control	0	D	65229	7171	4113	0.063	46
P08_D20_050_C0D	P08	20_050	Control	0	D	48452	2997	1252	0.026	31
P08_D50_100_C0D	P08	50_100	Control	0	D	65088	4002	1596	0.025	32
P09_D00_010_W4E	P09	00_010	Warm	4	E	68165	65433	34742	0.51	540
P09_D10_020_W4E	P09	10_020	Warm	4	E	111597	82293	55568	0.498	235
P09_D20_050_W4E	P09	20_050	Warm	4	E	53215	5915	3152	0.059	20
P09_D50_100_W4E	P09	50_100	Warm	4	E	49969	5091	2662	0.053	22
P10_D00_010_C0E	P10	00_010	Control	0	E	52385	50243	33858	0.646	649
P10_D10_020_C0E	P10	10_020	Control	0	E	10827	4448	2963	0.274	79
P10_D20_050_C0E	P10	20_050	Control	0	E	49794	14961	12051	0.242	29
P10_D50_100_C0E	P10	50_100	Control	0	E	46678	4067	2199	0.047	30
