SampleID	start_rc	start_asv	final_rc	final_asv
P00_D00_000_NNN	2	2	NA	NA
P01_D00_010_W4A	6979	36	5842	11
P01_D10_020_W4A	7658	16	2734	8
P01_D20_050_W4A	29	2	NA	NA
P01_D50_100_W4A	27	2	NA	NA
P02_D00_010_C0A	21540	28	18602	18
P02_D10_020_C0A	11654	10	11558	9
P02_D20_050_C0A	2	2	NA	NA
P02_D50_100_C0A	411	6	395	5
P03_D00_010_W4B	89813	45	51535	11
P03_D10_020_W4B	9132	9	8361	2
P03_D20_050_W4B	3581	7	3581	7
P03_D50_100_W4B	5	4	NA	NA
P04_D00_010_C0B	13604	36	12398	20
P04_D10_020_C0B	232	5	232	5
P04_D20_050_C0B	4264	6	4262	4
P04_D50_100_C0B	2397	4	2395	2
P05_D00_010_W4C	8625	7	6175	6
P05_D10_020_W4C	5	3	NA	NA
P05_D50_100_W4C	3	2	NA	NA
P06_D00_010_C0C	25426	20	25133	16
P06_D10_020_C0C	21447	11	20286	8
P06_D20_050_C0C	3	3	NA	NA
P06_D50_100_C0C	2	2	NA	NA
P07_D00_010_W4D	11949	9	5832	4
P07_D10_020_W4D	44015	17	42417	13
P07_D20_050_W4D	9	4	NA	NA
P07_D50_100_W4D	65	4	NA	NA
P08_D00_010_C0D	3298	11	3108	7
P08_D10_020_C0D	5998	6	5997	5
P08_D20_050_C0D	209	4	NA	NA
P08_D50_100_C0D	231	4	231	4
P09_D00_010_W4E	7541	28	4999	14
P09_D10_020_W4E	2333	11	853	5
P09_D20_050_W4E	1	1	NA	NA
P09_D50_100_W4E	1	1	NA	NA
P10_D00_010_C0E	21938	44	19458	28
P10_D10_020_C0E	12063	13	12062	12
P10_D50_100_C0E	1	1	NA	NA
