ASV_ID	total_reads_NC	total_reads_samps	perc_in_neg	total_samples	num_samp_nc	num_samp_no_nc	perc_in_neg_samp
ASV9992	16	0	100	1	1	0	100
ASV3670	3	85	3.409091	9	1	8	11.11111111111111
ASV2401	21	118	15.107914	20	1	19	5
ASV7644	24	8	75	6	1	5	16.666666666666664
ASV9669	18	0	100	1	1	0	100
ASV4853	35	29	54.6875	11	1	10	9.090909090909092
ASV6060	47	0	100	1	1	0	100
ASV3886	1	81	1.219512	27	1	26	3.7037037037037033
ASV1	3	63999	0.004687	33	1	32	3.0303030303030303
ASV8245	18	9	66.666667	6	1	5	16.666666666666664
ASV2651	4	121	3.2	26	1	25	3.8461538461538463
ASV2615	7	120	5.511811	20	1	19	5
ASV4053	8	70	10.25641	14	1	13	7.142857142857142
ASV2791	8	111	6.722689	23	1	22	4.3478260869565215
ASV4425	17	54	23.943662	16	1	15	6.25
ASV4582	40	28	58.823529	8	1	7	12.5
ASV8443	3	23	11.538462000000001	8	1	7	12.5
ASV4651	16	51	23.880597	7	1	6	14.285714285714285
ASV7994	1	28	3.448276	8	1	7	12.5
ASV5320	5	52	8.77193	13	1	12	7.6923076923076925
ASV5932	9	40	18.367347	11	1	10	9.090909090909092
ASV6596	6	35	14.634146	8	1	7	12.5
ASV4883	2	61	3.174603	13	1	12	7.6923076923076925
ASV4302	1	72	1.369863	10	1	9	10
ASV1155	22	275	7.407407	31	1	30	3.225806451612903
ASV1663	11	192	5.418719	26	1	25	3.8461538461538463
ASV10187	13	2	86.666667	2	1	1	50
