SampleID	Plot	Depth	Treatment	Temp	Pairing	raw_rc	cutadapt_rc	lotus3_rc	per_reads_kept	lotus3_asv
P00_D00_000_NNN	P00	00_000	Negative	N	N	910	668	359	0.395	27
P01_D00_010_W4A	P01	00_010	Warm	4	A	258854	243806	138823	0.536	7310
P01_D10_020_W4A	P01	10_020	Warm	4	A	203065	191122	115924	0.571	6747
P01_D20_050_W4A	P01	20_050	Warm	4	A	21946	20663	13581	0.619	1145
P01_D50_100_W4A	P01	50_100	Warm	4	A	14208	13257	9358	0.659	341
P02_D00_010_C0A	P02	00_010	Control	0	A	252475	237494	143134	0.567	7425
P02_D10_020_C0A	P02	10_020	Control	0	A	200238	189026	113996	0.569	6802
P02_D20_050_C0A	P02	20_050	Control	0	A	5036	4643	1597	0.317	358
P02_D50_100_C0A	P02	50_100	Control	0	A	32	20	2	0.062	2
P03_D00_010_W4B	P03	00_010	Warm	4	B	175088	165180	102528	0.586	6897
P03_D10_020_W4B	P03	10_020	Warm	4	B	128034	120831	78057	0.61	6219
P03_D20_050_W4B	P03	20_050	Warm	4	B	5708	5390	2461	0.431	307
P03_D50_100_W4B	P03	50_100	Warm	4	B	6728	6338	2450	0.364	343
P04_D00_010_C0B	P04	00_010	Control	0	B	208771	196718	120227	0.576	7506
P04_D10_020_C0B	P04	10_020	Control	0	B	56965	53751	34581	0.607	3447
P04_D20_050_C0B	P04	20_050	Control	0	B	4246	3833	1163	0.274	371
P04_D50_100_C0B	P04	50_100	Control	0	B	4390	4024	1563	0.356	221
P05_D00_010_W4C	P05	00_010	Warm	4	C	69799	66070	40600	0.582	3802
P05_D10_020_W4C	P05	10_020	Warm	4	C	43061	40697	25434	0.591	4013
P05_D20_050_W4C	P05	20_050	Warm	4	C	7211	6761	2544	0.353	453
P05_D50_100_W4C	P05	50_100	Warm	4	C	7303	6894	3434	0.47	406
P06_D00_010_C0C	P06	00_010	Control	0	C	188551	177362	109284	0.58	7329
P06_D10_020_C0C	P06	10_020	Control	0	C	336168	318091	196476	0.584	8001
P06_D20_050_C0C	P06	20_050	Control	0	C	3128	2782	1014	0.324	297
P06_D50_100_C0C	P06	50_100	Control	0	C	4138	3864	1452	0.351	369
P07_D00_010_W4D	P07	00_010	Warm	4	D	321022	303133	189720	0.591	7643
P07_D10_020_W4D	P07	10_020	Warm	4	D	157573	148298	92769	0.589	6721
P07_D20_050_W4D	P07	20_050	Warm	4	D	12822	12041	5568	0.434	887
P07_D50_100_W4D	P07	50_100	Warm	4	D	21743	20469	7020	0.323	725
P08_D00_010_C0D	P08	00_010	Control	0	D	52412	49191	26920	0.514	3144
P08_D10_020_C0D	P08	10_020	Control	0	D	21073	19754	11143	0.529	1200
P08_D20_050_C0D	P08	20_050	Control	0	D	20518	18931	8146	0.397	1240
P08_D50_100_C0D	P08	50_100	Control	0	D	29908	28087	16754	0.56	780
P09_D00_010_W4E	P09	00_010	Warm	4	E	256647	240163	148981	0.58	7982
P09_D10_020_W4E	P09	10_020	Warm	4	E	295279	278029	176866	0.599	7874
P09_D20_050_W4E	P09	20_050	Warm	4	E	19756	18619	9772	0.495	466
P09_D50_100_W4E	P09	50_100	Warm	4	E	33458	31438	20560	0.615	512
P10_D00_010_C0E	P10	00_010	Control	0	E	269788	251398	151826	0.563	7615
P10_D10_020_C0E	P10	10_020	Control	0	E	260466	245784	154772	0.594	6648
P10_D20_050_C0E	P10	20_050	Control	0	E	15357	14141	11108	0.723	285
P10_D50_100_C0E	P10	50_100	Control	0	E	16446	15439	8940	0.544	2303
