SampleID	raw_reads	cutadapt_reads
P01_D00_010_W4A	119710	117727
P01_D10_020_W4A	68464	55398
P01_D20_050_W4A	22142	2601
P01_D50_100_W4A	31608	2302
P02_D00_010_C0A	64386	61085
P02_D10_020_C0A	80029	58886
P02_D20_050_C0A	38259	2929
P02_D50_100_C0A	13536	136
P03_D00_010_W4B	32251	4262
P03_D10_020_W4B	73491	32145
P03_D20_050_W4B	43447	4719
P03_D50_100_W4B	56116	4106
P04_D00_010_C0B	94788	91156
P04_D10_020_C0B	74363	9559
P04_D20_050_C0B	67956	3492
P04_D50_100_C0B	58391	3625
P05_D00_010_W4C	62564	9377
P05_D10_020_W4C	64971	7628
P05_D20_050_W4C	38833	2409
P05_D50_100_W4C	50164	3046
P06_D00_010_C0C	80676	75732
P06_D10_020_C0C	115934	96623
P06_D20_050_C0C	88056	3432
P06_D50_100_C0C	75582	5990
P07_D00_010_W4D	80404	44341
P07_D10_020_W4D	82941	68622
P07_D20_050_W4D	45444	2793
P07_D50_100_W4D	58527	3381
P08_D00_010_C0D	56635	4768
P08_D10_020_C0D	65229	7171
P08_D20_050_C0D	48452	2997
P08_D50_100_C0D	65088	4002
P09_D00_010_W4E	68165	65433
P09_D10_020_W4E	111597	82293
P09_D20_050_W4E	53215	5915
P09_D50_100_W4E	49969	5091
P10_D00_010_C0E	52385	50243
P10_D10_020_C0E	10827	4448
P10_D20_050_C0E	49794	14961
P10_D50_100_C0E	46678	4067
