SampleID	raw_reads	cutadapt_reads
P00_D00_000_NNN	212	137
P01_D00_010_W4A	73424	72970
P01_D10_020_W4A	48831	48301
P01_D20_050_W4A	231	177
P01_D50_100_W4A	207	113
P02_D00_010_C0A	49248	48540
P02_D10_020_C0A	24274	23953
P02_D20_050_C0A	208	121
P02_D50_100_C0A	1599	1528
P03_D00_010_W4B	178799	175920
P03_D10_020_W4B	12756	12582
P03_D20_050_W4B	4336	4232
P03_D50_100_W4B	138	73
P04_D00_010_C0B	26457	26156
P04_D10_020_C0B	4207	4134
P04_D20_050_C0B	6471	6366
P04_D50_100_C0B	2909	2837
P05_D00_010_W4C	9961	9769
P05_D10_020_W4C	2876	2679
P05_D20_050_W4C	232	110
P05_D50_100_W4C	877	726
P06_D00_010_C0C	35277	34658
P06_D10_020_C0C	31590	30908
P06_D20_050_C0C	738	643
P06_D50_100_C0C	436	128
P07_D00_010_W4D	24302	24061
P07_D10_020_W4D	54660	53639
P07_D20_050_W4D	330	228
P07_D50_100_W4D	374	266
P08_D00_010_C0D	4080	3819
P08_D10_020_C0D	7259	7116
P08_D20_050_C0D	636	506
P08_D50_100_C0D	656	596
P09_D00_010_W4E	25665	25413
P09_D10_020_W4E	16042	15922
P09_D20_050_W4E	1017	909
P09_D50_100_W4E	171	63
P10_D00_010_C0E	56767	56414
P10_D10_020_C0E	17317	17171
P10_D20_050_C0E	985	879
P10_D50_100_C0E	617	237
