SampleID	raw_reads	cutadapt_reads
P00_D00_000_NNN	910	668
P01_D00_010_W4A	258854	243806
P01_D10_020_W4A	203065	191122
P01_D20_050_W4A	21946	20663
P01_D50_100_W4A	14208	13257
P02_D00_010_C0A	252475	237494
P02_D10_020_C0A	200238	189026
P02_D20_050_C0A	5036	4643
P02_D50_100_C0A	32	20
P03_D00_010_W4B	175088	165180
P03_D10_020_W4B	128034	120831
P03_D20_050_W4B	5708	5390
P03_D50_100_W4B	6728	6338
P04_D00_010_C0B	208771	196718
P04_D10_020_C0B	56965	53751
P04_D20_050_C0B	4246	3833
P04_D50_100_C0B	4390	4024
P05_D00_010_W4C	69799	66070
P05_D10_020_W4C	43061	40697
P05_D20_050_W4C	7211	6761
P05_D50_100_W4C	7303	6894
P06_D00_010_C0C	188551	177362
P06_D10_020_C0C	336168	318091
P06_D20_050_C0C	3128	2782
P06_D50_100_C0C	4138	3864
P07_D00_010_W4D	321022	303133
P07_D10_020_W4D	157573	148298
P07_D20_050_W4D	12822	12041
P07_D50_100_W4D	21743	20469
P08_D00_010_C0D	52412	49191
P08_D10_020_C0D	21073	19754
P08_D20_050_C0D	20518	18931
P08_D50_100_C0D	29908	28087
P09_D00_010_W4E	256647	240163
P09_D10_020_W4E	295279	278029
P09_D20_050_W4E	19756	18619
P09_D50_100_W4E	33458	31438
P10_D00_010_C0E	269788	251398
P10_D10_020_C0E	260466	245784
P10_D20_050_C0E	15357	14141
P10_D50_100_C0E	16446	15439
