SampleID	raw_reads	cutadapt_reads	final_reads
P00_D00_000_NNN	47622	29518	23941
P01_D00_010_W4A	49965	48866	37078
P01_D10_020_W4A	22904	22346	19128
P01_D20_050_W4A	394	281	221
P01_D50_100_W4A	7014	6817	5691
P02_D00_010_C0A	24935	24026	20077
P02_D10_020_C0A	19389	18764	15942
P02_D20_050_C0A	63388	62757	52244
P02_D50_100_C0A	30114	29834	25653
P03_D00_010_W4B	51320	50677	39935
P03_D10_020_W4B	44859	44401	37830
P03_D20_050_W4B	37422	37004	31733
P03_D50_100_W4B	38671	38272	32641
P04_D00_010_C0B	48228	47743	39828
P04_D10_020_C0B	38244	37861	32152
P04_D20_050_C0B	40042	39383	32667
P04_D50_100_C0B	35885	32509	27786
P05_D00_010_W4C	45254	44829	37990
P05_D10_020_W4C	42162	35611	30352
P05_D20_050_W4C	21806	21611	18483
P05_D50_100_W4C	11804	11686	10192
P06_D00_010_C0C	50919	50379	39810
P06_D10_020_C0C	46097	45763	39087
P06_D20_050_C0C	49338	48923	40591
P06_D50_100_C0C	16312	16170	14165
P07_D00_010_W4D	42163	41649	35343
P07_D10_020_W4D	53157	51899	39748
P07_D20_050_W4D	32234	31892	27651
P07_D50_100_W4D	33024	32668	28039
P08_D00_010_C0D	39249	39009	33275
P08_D10_020_C0D	41393	40954	35481
P08_D20_050_C0D	33336	33011	28657
P08_D50_100_C0D	37368	31983	27881
P09_D00_010_W4E	46685	44957	33264
P09_D10_020_W4E	43854	43536	36805
P09_D20_050_W4E	36702	26997	23364
P09_D50_100_W4E	12872	4003	3442
P10_D00_010_C0E	46375	45952	35538
P10_D10_020_C0E	40900	40630	35204
P10_D20_050_C0E	26064	25766	22433
P10_D50_100_C0E	24518	18876	16358
