SampleID	raw_reads	cutadapt_reads	final_reads
P00_D00_000_NNN	910	668	359
P01_D00_010_W4A	258854	243806	138823
P01_D10_020_W4A	203065	191122	115924
P01_D20_050_W4A	21946	20663	13581
P01_D50_100_W4A	14208	13257	9358
P02_D00_010_C0A	252475	237494	143134
P02_D10_020_C0A	200238	189026	113996
P02_D20_050_C0A	5036	4643	1597
P02_D50_100_C0A	32	20	2
P03_D00_010_W4B	175088	165180	102528
P03_D10_020_W4B	128034	120831	78057
P03_D20_050_W4B	5708	5390	2461
P03_D50_100_W4B	6728	6338	2450
P04_D00_010_C0B	208771	196718	120227
P04_D10_020_C0B	56965	53751	34581
P04_D20_050_C0B	4246	3833	1163
P04_D50_100_C0B	4390	4024	1563
P05_D00_010_W4C	69799	66070	40600
P05_D10_020_W4C	43061	40697	25434
P05_D20_050_W4C	7211	6761	2544
P05_D50_100_W4C	7303	6894	3434
P06_D00_010_C0C	188551	177362	109284
P06_D10_020_C0C	336168	318091	196476
P06_D20_050_C0C	3128	2782	1014
P06_D50_100_C0C	4138	3864	1452
P07_D00_010_W4D	321022	303133	189720
P07_D10_020_W4D	157573	148298	92769
P07_D20_050_W4D	12822	12041	5568
P07_D50_100_W4D	21743	20469	7020
P08_D00_010_C0D	52412	49191	26920
P08_D10_020_C0D	21073	19754	11143
P08_D20_050_C0D	20518	18931	8146
P08_D50_100_C0D	29908	28087	16754
P09_D00_010_W4E	256647	240163	148981
P09_D10_020_W4E	295279	278029	176866
P09_D20_050_W4E	19756	18619	9772
P09_D50_100_W4E	33458	31438	20560
P10_D00_010_C0E	269788	251398	151826
P10_D10_020_C0E	260466	245784	154772
P10_D20_050_C0E	15357	14141	11108
P10_D50_100_C0E	16446	15439	8940
