SampleID	raw_rc	cutadapt_rc	lotus3_rc	curate_rc
P01_D00_010_W4A	119710	117727	45170	37610
P01_D10_020_W4A	68464	55398	29333	23785
P01_D20_050_W4A	22142	2601	1319	1203
P01_D50_100_W4A	31608	2302	1056	973
P02_D00_010_C0A	64386	61085	43184	41556
P02_D10_020_C0A	80029	58886	39906	36160
P02_D20_050_C0A	38259	2929	1167	1081
P02_D50_100_C0A	13536	136	3	NA
P03_D00_010_W4B	32251	4262	1343	969
P03_D10_020_W4B	73491	32145	19336	17358
P03_D20_050_W4B	43447	4719	2714	2062
P03_D50_100_W4B	56116	4106	1735	1531
P04_D00_010_C0B	94788	91156	57722	52279
P04_D10_020_C0B	74363	9559	5643	5152
P04_D20_050_C0B	67956	3492	1372	1217
P04_D50_100_C0B	58391	3625	1706	1468
P05_D00_010_W4C	62564	9377	4377	3985
P05_D10_020_W4C	64971	7628	4794	3672
P05_D20_050_W4C	38833	2409	1160	1109
P05_D50_100_W4C	50164	3046	1244	1033
P06_D00_010_C0C	80676	75732	52304	45208
P06_D10_020_C0C	115934	96623	66363	53184
P06_D20_050_C0C	88056	3432	1174	1073
P06_D50_100_C0C	75582	5990	3464	3138
P07_D00_010_W4D	80404	44341	24042	20741
P07_D10_020_W4D	82941	68622	37085	32527
P07_D20_050_W4D	45444	2793	1436	1093
P07_D50_100_W4D	58527	3381	1561	1147
P08_D00_010_C0D	56635	4768	2524	2239
P08_D10_020_C0D	65229	7171	4113	3631
P08_D20_050_C0D	48452	2997	1252	1031
P08_D50_100_C0D	65088	4002	1596	1387
P09_D00_010_W4E	68165	65433	34742	28631
P09_D10_020_W4E	111597	82293	55568	46749
P09_D20_050_W4E	53215	5915	3152	2864
P09_D50_100_W4E	49969	5091	2662	2422
P10_D00_010_C0E	52385	50243	33858	31723
P10_D10_020_C0E	10827	4448	2963	2610
P10_D20_050_C0E	49794	14961	12051	11773
P10_D50_100_C0E	46678	4067	2199	1844
