SampleID	raw_rc	cutadapt_rc	lotus3_rc	curate_rc
P00_D00_000_NNN	212	137	2	NA
P01_D00_010_W4A	73424	72970	6979	5842
P01_D10_020_W4A	48831	48301	7658	2734
P01_D20_050_W4A	231	177	29	NA
P01_D50_100_W4A	207	113	27	NA
P02_D00_010_C0A	49248	48540	21540	18602
P02_D10_020_C0A	24274	23953	11654	11558
P02_D20_050_C0A	208	121	2	NA
P02_D50_100_C0A	1599	1528	411	395
P03_D00_010_W4B	178799	175920	89813	51535
P03_D10_020_W4B	12756	12582	9132	8361
P03_D20_050_W4B	4336	4232	3581	3581
P03_D50_100_W4B	138	73	5	NA
P04_D00_010_C0B	26457	26156	13604	12398
P04_D10_020_C0B	4207	4134	232	232
P04_D20_050_C0B	6471	6366	4264	4262
P04_D50_100_C0B	2909	2837	2397	2395
P05_D00_010_W4C	9961	9769	8625	6175
P05_D10_020_W4C	2876	2679	5	NA
P05_D20_050_W4C	232	110	0	NA
P05_D50_100_W4C	877	726	3	NA
P06_D00_010_C0C	35277	34658	25426	25133
P06_D10_020_C0C	31590	30908	21447	20286
P06_D20_050_C0C	738	643	3	NA
P06_D50_100_C0C	436	128	2	NA
P07_D00_010_W4D	24302	24061	11949	5832
P07_D10_020_W4D	54660	53639	44015	42417
P07_D20_050_W4D	330	228	9	NA
P07_D50_100_W4D	374	266	65	NA
P08_D00_010_C0D	4080	3819	3298	3108
P08_D10_020_C0D	7259	7116	5998	5997
P08_D20_050_C0D	636	506	209	NA
P08_D50_100_C0D	656	596	231	231
P09_D00_010_W4E	25665	25413	7541	4999
P09_D10_020_W4E	16042	15922	2333	853
P09_D20_050_W4E	1017	909	1	NA
P09_D50_100_W4E	171	63	1	NA
P10_D00_010_C0E	56767	56414	21938	19458
P10_D10_020_C0E	17317	17171	12063	12062
P10_D20_050_C0E	985	879	0	NA
P10_D50_100_C0E	617	237	1	NA
