SampleID	raw_rc	cutadapt_rc	lotus3_rc	curate_rc
P00_D00_000_NNN	910	668	359	NA
P01_D00_010_W4A	258854	243806	138823	138631
P01_D10_020_W4A	203065	191122	115924	115869
P01_D20_050_W4A	21946	20663	13581	13540
P01_D50_100_W4A	14208	13257	9358	9346
P02_D00_010_C0A	252475	237494	143134	143092
P02_D10_020_C0A	200238	189026	113996	113964
P02_D20_050_C0A	5036	4643	1597	1580
P02_D50_100_C0A	32	20	2	NA
P03_D00_010_W4B	175088	165180	102528	102369
P03_D10_020_W4B	128034	120831	78057	78002
P03_D20_050_W4B	5708	5390	2461	2436
P03_D50_100_W4B	6728	6338	2450	2417
P04_D00_010_C0B	208771	196718	120227	120171
P04_D10_020_C0B	56965	53751	34581	34564
P04_D20_050_C0B	4246	3833	1163	1126
P04_D50_100_C0B	4390	4024	1563	1502
P05_D00_010_W4C	69799	66070	40600	40578
P05_D10_020_W4C	43061	40697	25434	25401
P05_D20_050_W4C	7211	6761	2544	2466
P05_D50_100_W4C	7303	6894	3434	3336
P06_D00_010_C0C	188551	177362	109284	109211
P06_D10_020_C0C	336168	318091	196476	196357
P06_D20_050_C0C	3128	2782	1014	1004
P06_D50_100_C0C	4138	3864	1452	1403
P07_D00_010_W4D	321022	303133	189720	189477
P07_D10_020_W4D	157573	148298	92769	92724
P07_D20_050_W4D	12822	12041	5568	5500
P07_D50_100_W4D	21743	20469	7020	6867
P08_D00_010_C0D	52412	49191	26920	26845
P08_D10_020_C0D	21073	19754	11143	11079
P08_D20_050_C0D	20518	18931	8146	7702
P08_D50_100_C0D	29908	28087	16754	16649
P09_D00_010_W4E	256647	240163	148981	148928
P09_D10_020_W4E	295279	278029	176866	176607
P09_D20_050_W4E	19756	18619	9772	9584
P09_D50_100_W4E	33458	31438	20560	20330
P10_D00_010_C0E	269788	251398	151826	151732
P10_D10_020_C0E	260466	245784	154772	154700
P10_D20_050_C0E	15357	14141	11108	11070
P10_D50_100_C0E	16446	15439	8940	8892
