SampleID	denoisedF	denoisedR
P00-D00-000-NNN	450	458
P01-D00-010-W4A	195308	195324
P01-D10-020-W4A	156272	156026
P01-D20-050-W4A	17034	17102
P01-D50-100-W4A	11094	11127
P02-D00-010-C0A	189390	188969
P02-D10-020-C0A	154706	154326
P02-D20-050-C0A	3357	3334
P02-D50-100-C0A	1	1
P03-D00-010-W4B	135391	135348
P03-D10-020-W4B	99862	99813
P03-D20-050-W4B	4126	4176
P03-D50-100-W4B	4728	4797
P04-D00-010-C0B	159186	158954
P04-D10-020-C0B	44409	44398
P04-D20-050-C0B	2209	2231
P04-D50-100-C0B	3031	3119
P05-D00-010-W4C	53062	53175
P05-D10-020-W4C	32221	32299
P05-D20-050-W4C	4864	4935
P05-D50-100-W4C	5445	5446
P06-D00-010-C0C	140614	140692
P06-D10-020-C0C	259763	259494
P06-D20-050-C0C	1879	1873
P06-D50-100-C0C	2839	2870
P07-D00-010-W4D	242262	242519
P07-D10-020-W4D	117990	117879
P07-D20-050-W4D	8593	8587
P07-D50-100-W4D	15450	15382
P08-D00-010-C0D	35478	35204
P08-D10-020-C0D	14648	14612
P08-D20-050-C0D	12346	12314
P08-D50-100-C0D	22046	22056
P09-D00-010-W4E	182861	182746
P09-D10-020-W4E	213555	213291
P09-D20-050-W4E	14134	14122
P09-D50-100-W4E	24938	24977
P10-D00-010-C0E	173706	173508
P10-D10-020-C0E	190349	190077
P10-D20-050-C0E	11294	11213
P10-D50-100-C0E	11275	11148
