SampleID	reads.in	reads.out
P00-D00-000-NNN	668	462
P01-D00-010-W4A	243806	205937
P01-D10-020-W4A	191122	161125
P01-D20-050-W4A	20663	17807
P01-D50-100-W4A	13257	11635
P02-D00-010-C0A	237494	195204
P02-D10-020-C0A	189026	159047
P02-D20-050-C0A	4643	3899
P02-D50-100-C0A	20	7
P03-D00-010-W4B	165180	140871
P03-D10-020-W4B	120831	103341
P03-D20-050-W4B	5390	4575
P03-D50-100-W4B	6338	5156
P04-D00-010-C0B	196718	165725
P04-D10-020-C0B	53751	45912
P04-D20-050-C0B	3833	3236
P04-D50-100-C0B	4024	3317
P05-D00-010-W4C	66070	55362
P05-D10-020-W4C	40697	34208
P05-D20-050-W4C	6761	5558
P05-D50-100-W4C	6894	5660
P06-D00-010-C0C	177362	145522
P06-D10-020-C0C	318091	266213
P06-D20-050-C0C	2782	2363
P06-D50-100-C0C	3864	3186
P07-D00-010-W4D	303133	248481
P07-D10-020-W4D	148298	121473
P07-D20-050-W4D	12041	9509
P07-D50-100-W4D	20469	16482
P08-D00-010-C0D	49191	38418
P08-D10-020-C0D	19754	16283
P08-D20-050-C0D	18931	15923
P08-D50-100-C0D	28087	23836
P09-D00-010-W4E	240163	189718
P09-D10-020-W4E	278029	220452
P09-D20-050-W4E	18619	14339
P09-D50-100-W4E	31438	25098
P10-D00-010-C0E	251398	181665
P10-D10-020-C0E	245784	194539
P10-D20-050-C0E	14141	11731
P10-D50-100-C0E	15439	12238
