SampleID	raw	cut	filtered	denoisedF	denoisedR	merged	nonchim
P00-D00-000-NNN	910	668	462	450	458	449	449
P01-D00-010-W4A	258854	243806	205937	195308	195324	134390	129345
P01-D10-020-W4A	203065	191122	161125	156272	156026	109926	105096
P01-D20-050-W4A	21946	20663	17807	17034	17102	13609	13478
P01-D50-100-W4A	14208	13257	11635	11094	11127	9476	9464
P02-D00-010-C0A	252475	237494	195204	189390	188969	133392	128029
P02-D10-020-C0A	200238	189026	159047	154706	154326	110748	106609
P02-D20-050-C0A	5036	4643	3899	3357	3334	2381	2366
P02-D50-100-C0A	32	20	7	1	1	0	0
P03-D00-010-W4B	175088	165180	140871	135391	135348	96729	93248
P03-D10-020-W4B	128034	120831	103341	99862	99813	72020	69806
P03-D20-050-W4B	5708	5390	4575	4126	4176	3376	3320
P03-D50-100-W4B	6728	6338	5156	4728	4797	3706	3691
P04-D00-010-C0B	208771	196718	165725	159186	158954	110685	106554
P04-D10-020-C0B	56965	53751	45912	44409	44398	32433	31695
P04-D20-050-C0B	4246	3833	3236	2209	2231	1436	1426
P04-D50-100-C0B	4390	4024	3317	3031	3119	2398	2377
P05-D00-010-W4C	69799	66070	55362	53062	53175	38433	37453
P05-D10-020-W4C	43061	40697	34208	32221	32299	23349	22881
P05-D20-050-W4C	7211	6761	5558	4864	4935	3485	3456
P05-D50-100-W4C	7303	6894	5660	5445	5446	4751	4552
P06-D00-010-C0C	188551	177362	145522	140614	140692	98713	95203
P06-D10-020-C0C	336168	318091	266213	259763	259494	187039	180156
P06-D20-050-C0C	3128	2782	2363	1879	1873	1300	1293
P06-D50-100-C0C	4138	3864	3186	2839	2870	2093	2069
P07-D00-010-W4D	321022	303133	248481	242262	242519	172258	165122
P07-D10-020-W4D	157573	148298	121473	117990	117879	82691	79577
P07-D20-050-W4D	12822	12041	9509	8593	8587	6274	6207
P07-D50-100-W4D	21743	20469	16482	15450	15382	11654	11562
P08-D00-010-C0D	52412	49191	38418	35478	35204	26173	25924
P08-D10-020-C0D	21073	19754	16283	14648	14612	11270	11111
P08-D20-050-C0D	20518	18931	15923	12346	12314	8494	8411
P08-D50-100-C0D	29908	28087	23836	22046	22056	17926	17827
P09-D00-010-W4E	256647	240163	189718	182861	182746	129907	125087
P09-D10-020-W4E	295279	278029	220452	213555	213291	155276	149765
P09-D20-050-W4E	19756	18619	14339	14134	14122	11963	11696
P09-D50-100-W4E	33458	31438	25098	24938	24977	23479	23201
P10-D00-010-C0E	269788	251398	181665	173706	173508	121068	117666
P10-D10-020-C0E	260466	245784	194539	190349	190077	140609	136215
P10-D20-050-C0E	15357	14141	11731	11294	11213	10142	10121
P10-D50-100-C0E	16446	15439	12238	11275	11148	8139	7992
