samples	represented_reads	min_substantive_abundance_reason	maximum_variation_allowed_reason
P01_D00_010_W4A	53772	65222	11512
P01_D20_050_W4A	8141	4658	920
P01_D50_100_W4A	7247	2350	265
P02_D10_020_C0A	48223	43259	8007
P03_D10_020_W4B	35588	29027	5674
P03_D20_050_W4B	442	2391	530
P03_D50_100_W4B	504	2881	585
P04_D10_020_C0B	17183	12186	2206
P04_D20_050_C0B	144	1950	373
P04_D50_100_C0B	278	1944	399
P05_D00_010_W4C	18689	17123	2878
P05_D10_020_W4C	11963	10437	1852
P06_D00_010_C0C	39094	45720	7746
P06_D10_020_C0C	77602	80022	13459
P06_D20_050_C0C	198	1375	216
P06_D50_100_C0C	309	1784	249
P07_D10_020_W4D	39826	31308	5931
P07_D20_050_W4D	610	5287	830
P07_D50_100_W4D	740	9410	1808
P08_D00_010_C0D	9944	16176	2213
P08_D10_020_C0D	6271	5316	901
P08_D20_050_C0D	3434	7591	1309
P08_D50_100_C0D	10765	7125	1402
P09_D10_020_W4E	65281	70119	14591
P09_D50_100_W4E	3675	13359	2229
P10_D10_020_C0E	62938	55489	10914
P10_D20_050_C0E	8002	2088	259
P02_D00_010_C0A	57416	53733	10289
P01_D10_020_W4A	50824	41474	7713
P10_D00_010_C0E	49093	61883	12371
P02_D20_050_C0A	231	2356	352
P03_D00_010_W4B	41807	43602	8377
P04_D00_010_C0B	49351	48246	9308
P05_D50_100_W4C	799	2873	515
P07_D00_010_W4D	81991	65624	12093
P09_D00_010_W4E	54973	57233	11035
P10_D50_100_C0E	2512	5315	987
P05_D20_050_W4C	243	3250	522
P09_D20_050_W4E	844	8466	1306
P02_D50_100_C0A	0	4	0
