Sample_ID	input	screen_seqs	align_screen	nochim	no_contam
P00_D00_000_NNN	668	410	410	0	0
P01_D00_010_W4A	243806	143093	142993	130025	130017
P01_D10_020_W4A	191122	108716	108643	99784	99784
P01_D20_050_W4A	20663	13850	13838	13714	13714
P01_D50_100_W4A	13257	9945	9920	9847	9847
P02_D00_010_C0A	237494	131752	131687	121007	121004
P02_D10_020_C0A	189026	106663	106596	99253	99253
P02_D20_050_C0A	4643	3027	3020	2934	2934
P02_D50_100_C0A	20	4	4	4	4
P03_D00_010_W4B	165180	100622	100516	93722	93720
P03_D10_020_W4B	120831	73034	72952	70220	70219
P03_D20_050_W4B	5390	3406	3403	3372	3372
P03_D50_100_W4B	6338	4056	4055	3942	3942
P04_D00_010_C0B	196718	114046	113994	106734	106731
P04_D10_020_C0B	53751	32000	31978	31522	31522
P04_D20_050_C0B	3833	2562	2560	2475	2473
P04_D50_100_C0B	4024	2672	2670	2617	2617
P05_D00_010_W4C	66070	39211	39169	38628	38628
P05_D10_020_W4C	40697	24850	24823	24275	24275
P05_D20_050_W4C	6761	4066	4061	4027	4025
P05_D50_100_W4C	6894	4277	4262	4190	4190
P06_D00_010_C0C	177362	98832	98774	92233	92233
P06_D10_020_C0C	318091	179858	179726	170071	170071
P06_D20_050_C0C	2782	1838	1835	1788	1788
P06_D50_100_C0C	3864	2438	2438	2369	2364
P07_D00_010_W4D	303133	167526	167439	159434	159432
P07_D10_020_W4D	148298	81806	81747	77022	77020
P07_D20_050_W4D	12041	6852	6850	6750	6750
P07_D50_100_W4D	20469	12377	12352	11956	11921
P08_D00_010_C0D	49191	28702	28667	28302	28302
P08_D10_020_C0D	19754	12682	12654	12483	12479
P08_D20_050_C0D	18931	12684	12670	12272	12269
P08_D50_100_C0D	28087	19613	19584	19259	19256
P09_D00_010_W4E	240163	135137	135048	122898	122895
P09_D10_020_W4E	278029	159250	159098	149604	149602
P09_D20_050_W4E	18619	10759	10754	10625	10624
P09_D50_100_W4E	31438	19629	19590	19186	19186
P10_D00_010_C0E	251398	133685	133609	122898	122896
P10_D10_020_C0E	245784	134085	133993	128833	128833
P10_D20_050_C0E	14141	10433	10404	10333	10332
P10_D50_100_C0E	15439	9041	9036	8811	8811
